SYMBOL,ISSUER,Current supply,Max supply	,PRESICION,Pool balance,Core exchange rate (CER),Description,Countries,Title
AED,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,"курсы обмена валют брать с https://fixer.io, пример http://data.fixer.io/api/latest?access_key=9f4ba08216c7335656fef5395948fcfa&base=GBP выдает все курсы обмена GBP на другие валюты","AED is a derivative that tracks the real value of 1 UAE Dirham - official currency of UNITED ARAB EMIRATES (THE). It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",UNITED ARAB EMIRATES (THE),UAE Dirham
AFN,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"AFN is a derivative that tracks the real value of 1 Afghani - official currency of AFGHANISTAN. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",AFGHANISTAN,Afghani
ALL,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,"все курсы обмена фиат на фифит можно вытянуть из этого источника, завпрашивать 2 раза в сутки","ALL is a derivative that tracks the real value of 1 Lek - official currency of ALBANIA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",ALBANIA,Lek
AMD,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"AMD is a derivative that tracks the real value of 1 Armenian Dram - official currency of ARMENIA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",ARMENIA,Armenian Dram
ANG,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"ANG is a derivative that tracks the real value of 1 Netherlands Antillean Guilder - official currency of CURAÇAO and SINT MAARTEN (DUTCH PART). It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",CURAÇAO and SINT MAARTEN (DUTCH PART),Netherlands Antillean Guilder
AOA,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"AOA is a derivative that tracks the real value of 1 Kwanza - official currency of ANGOLA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",ANGOLA,Kwanza
ARS,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"ARS is a derivative that tracks the real value of 1 Argentine Peso - official currency of ARGENTINA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",ARGENTINA,Argentine Peso
AUD,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"AUD is a derivative that tracks the real value of 1 Australian Dollar - official currency of AUSTRALIA, CHRISTMAS ISLAND, COCOS (KEELING) ISLANDS (THE), HEARD ISLAND AND McDONALD ISLANDS, KIRIBATI, NAURU, NORFOLK ISLAND, TUVALU. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract","AUSTRALIA, CHRISTMAS ISLAND, COCOS (KEELING) ISLANDS (THE), HEARD ISLAND AND McDONALD ISLANDS, KIRIBATI, NAURU, NORFOLK ISLAND, TUVALU",Australian Dollar
AWG,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"AWG is a derivative that tracks the real value of 1 Aruban Florin - official currency of ARUBA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",ARUBA,Aruban Florin
AZN,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"AZN is a derivative that tracks the real value of 1 Azerbaijan Manat - official currency of AZERBAIJAN. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",AZERBAIJAN,Azerbaijan Manat
BAM,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"BAM is a derivative that tracks the real value of 1 Convertible Mark - official currency of BOSNIA AND HERZEGOVINA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",BOSNIA AND HERZEGOVINA,Convertible Mark
BBD,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"BBD is a derivative that tracks the real value of 1 Barbados Dollar - official currency of BARBADOS. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",BARBADOS,Barbados Dollar
BDT,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"BDT is a derivative that tracks the real value of 1 Taka - official currency of BANGLADESH. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",BANGLADESH,Taka
BGN,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"BGN is a derivative that tracks the real value of 1 Bulgarian Lev - official currency of BULGARIA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",BULGARIA,Bulgarian Lev
BHD,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"BHD is a derivative that tracks the real value of 1 Bahraini Dinar - official currency of BAHRAIN. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",BAHRAIN,Bahraini Dinar
BIF,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"BIF is a derivative that tracks the real value of 1 Burundi Franc - official currency of BURUNDI. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",BURUNDI,Burundi Franc
BMD,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"BMD is a derivative that tracks the real value of 1 Bermudian Dollar - official currency of BERMUDA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",BERMUDA,Bermudian Dollar
